Parts,COST,LINK
"KEYSWITCH 10 peice","7 USD","https://www.daraz.pk/products/mechanical-keyboard-switches-3-pin-rgb-hot-swappable-blue-red-brown-black-silent-tactile-switches-for-gaming-keyboard-70-million-clicks-durability-pc-gaming-keyboard-accessories-diy-keyboard-switches-set-i936558752-s3994103046.html"
"Buzzers 10 peice","1.58 USD","https://ar.aliexpress.com/item/1005008165091345.html"
"XIAO RP2040","6.31 USD","https://ar.aliexpress.com/item/1005006593701624.html"
"LED 3","---","https://ar.aliexpress.com/item/1005003144912658.html"
"Resistors 3","---","https://ar.aliexpress.com/item/1005011772534173.html"
